kingmeeeech, Thu Apr 23 03:31:52 +0000 2020, -76.255686, 36.895082, @NCbae79 Wow , I hope and pray your strength to overcome that! 
HSHToria, Thu Apr 23 03:31:52 +0000 2020, -93.262046, 44.970610, Boy if you don’t shut up and go make me a sandwich 
thorku, Thu Apr 23 03:31:52 +0000 2020, -93.262046, 44.970610, Biggest “wild card” in the draft?Isaiah Simmons is the Joker. 
Knastyyyyy, Thu Apr 23 03:31:53 +0000 2020, -118.136676, 34.085597, Last night was so unplanned and fun as muthafucka. I love my dawgzzzzz 
otter272, Thu Apr 23 03:31:53 +0000 2020, -97.552161, 35.482844, So.......if the Dumpster knew about the virus and did nothing, shouldn’t he be charged with conspiracy to commit mu… https://t.co/NRMzyqLG7b 
SprintRunSprint, Thu Apr 23 03:31:53 +0000 2020, -83.804475, 27.698682, i haven’t had a crab tray in quite a while 
keri___xoxo, Thu Apr 23 03:31:53 +0000 2020, -79.002112, 35.054627, the a cappella version of this hit different 🤩 
Ayo48, Thu Apr 23 03:31:53 +0000 2020, -73.831187, 40.670879, @JereeSaidSo Wow i looked and she has traveled all over the world with the same 2 tired ass wigs! https://t.co/KPVoulN5Lp 
HeCallsMe_JAQ, Thu Apr 23 03:31:53 +0000 2020, -79.420865, 38.003376, I planned out a whole surprise for this child when this social distance stuff ends 🥰 
allynwest, Thu Apr 23 03:31:53 +0000 2020, -95.446486, 29.838495, @BarryOcho Grilled cheese and tomato basil soup 
jawnrx, Thu Apr 23 03:31:53 +0000 2020, -73.948775, 40.655138, the only earth gay photos I’ll acknowledge 
ChuksJaphet, Thu Apr 23 03:31:53 +0000 2020, -80.476404, 43.430240, @Emmapeter112 Thanjavur boss 
VAN_FUCKYOUMEAN, Thu Apr 23 03:31:53 +0000 2020, -89.017567, 42.257146, This shit scares tf out of me 
Wilsooo4L, Thu Apr 23 03:31:53 +0000 2020, -95.446486, 29.838495, 😂😂😂😂😂 
King_Torion, Thu Apr 23 03:31:53 +0000 2020, -86.791549, 36.200008, When I break, I break. 
perSONICk, Thu Apr 23 03:31:53 +0000 2020, -89.922029, 35.133521, Most thrilling sporting event I’ve ever witnessed in person 
rob_bieber, Thu Apr 23 03:31:53 +0000 2020, -79.913521, 43.260695, @christoaivalis I'm glad the NDP kept on these issues but I don't think the NDP (or any political party) can take c… https://t.co/TOI8Zcd6sS 
b24fowler, Thu Apr 23 03:31:54 +0000 2020, -79.995359, 35.995054, @markemoran @Greg81102 @BradenNevius @BallTalk365 @cbbanalytics #facts 
ashlaisabelle_, Thu Apr 23 03:31:54 +0000 2020, -73.849441, 40.850347, We got company coming overrrrr 🎶 
marisaapotts, Thu Apr 23 03:31:54 +0000 2020, -111.928142, 33.392884, @ULTRASLUT Is it nandini Indian cuisine? They gave me a hella discount the other day. Love them 
MadeePetties, Thu Apr 23 03:31:54 +0000 2020, -88.161555, 30.683649, This baby makes me so uncomfortable🤢 
ADiamondnTheRaw, Thu Apr 23 03:31:54 +0000 2020, -98.540651, 29.417501, I get my mom drunk and you never know what she could gon next. Now she praying that I give her 5 grandkids and she… https://t.co/9wzH3eGTQt 
loemalo, Thu Apr 23 03:31:54 +0000 2020, -84.532133, 33.948124, birthday in a week 🥰 
RCSDsch4, Thu Apr 23 03:31:54 +0000 2020, -75.770041, 42.746617, GMF School No. 4 supports and stands with Superintendent Dade 💯%‼️@TDade @RCSDNYS #westandwithdade #rcsdonefamily… https://t.co/Kctsa1GRng 
jaygjennings, Thu Apr 23 03:31:54 +0000 2020, -122.893224, 47.116208, @BrandiKruse Hah! 
AffinityImage, Thu Apr 23 03:31:54 +0000 2020, -116.361320, 43.691846, Dum due dada dum, bang.Humanity explained. https://t.co/D79cXSy1sg 
margieqwintero, Thu Apr 23 03:31:54 +0000 2020, -95.446486, 29.838495, @abc13houston It’s because he wants ppl to die for the economy.  Especially senior citizens such as himself. 
LimeLight_Jimmy, Thu Apr 23 03:31:54 +0000 2020, -80.233328, 25.782353, @Mayank35526787 @betfury_io @BitTorrent @booongogaming @SpinmaticEnt @spinomenal @PlaysonOnline @EndorphinaGames… https://t.co/1Jhq42dvRE 
what_is_style, Thu Apr 23 03:31:55 +0000 2020, -78.515337, 35.959024, Mood 
RyanDDowns, Thu Apr 23 03:31:55 +0000 2020, -114.143262, 45.494552, @DebsSweet I was disgusted by it, too- Deborah. I live 2 hours South of Boise, ID, where this woman was arrested. A… https://t.co/qB8ehJYT6h 
JeffreyKeck, Thu Apr 23 03:31:55 +0000 2020, -93.549592, 39.803669, Here is a great way to get active kids to dislike doing math. 😳 
RepublikEnemy, Thu Apr 23 03:31:55 +0000 2020, -118.346138, 33.914068, So point of origin could actually be different 🤔... 
amiephotos, Thu Apr 23 03:31:55 +0000 2020, -68.984705, 45.188407, I AM SOBBING 
adriansalinas08, Thu Apr 23 03:31:55 +0000 2020, -95.400973, 30.124856, @BlakeStBreaks @MacsCardShack How do we pay 
patrick_murray1, Thu Apr 23 03:31:55 +0000 2020, -77.604684, 41.117936, @duciswild love the scrabble board behind you every night. Keep it up!  It doesn’t go unnoticed. 
itskathryndunn, Thu Apr 23 03:31:55 +0000 2020, -96.761753, 32.819858, @SamSmith12522 Lmao no you didn’t, but I do encourage you to *not* be an asshole and provide fresh water to your ho… https://t.co/YzriMfHJNC 
BarbiHayden, Thu Apr 23 03:31:55 +0000 2020, -96.347781, 30.665858, Love this man😂👏🏼 
Marlon23rd, Thu Apr 23 03:31:55 +0000 2020, -83.173867, 32.678207, my tax guy cooked the books again https://t.co/cwvmTscAum 
TheBoyJO, Thu Apr 23 03:31:55 +0000 2020, -96.053431, 41.275721, Backwood shorty pearl one up slime 
seansebastien, Thu Apr 23 03:31:55 +0000 2020, -90.011008, 29.982601, Lil Wayne - Comfortable ft. Babyface (New Orleans Bounce Remix) https://t.co/oifHZ2xcim via @YouTube 
Msdavis2Them, Thu Apr 23 03:31:55 +0000 2020, -95.446486, 29.838495, @Sweet_blisse Kk😘 
_dacey24, Thu Apr 23 03:31:55 +0000 2020, -101.897173, 33.570526, literally what i needed rn 
KPD224, Thu Apr 23 03:31:55 +0000 2020, -99.067996, 40.699800, Cool video by the @Yankees and at the 6 second mark is the famous Kearney World Theatre.  Very cool!… https://t.co/9fAkjKj4Q7 
lord_dyce, Thu Apr 23 03:31:55 +0000 2020, -117.173571, 34.052874, And 50 cent made a movie based off his own life. And played himself in the movie. 
